"date","close","open","high","low","vol.","change %"
"04/28/2023","2,184.00","2,184.00","2,184.00","2,184.00","","0.18%"
"04/27/2023","2,180.00","2,180.00","2,180.00","2,180.00","","-0.77%"
"04/26/2023","2,197.00","2,197.00","2,197.00","2,197.00","","-0.48%"
"04/25/2023","2,207.50","2,207.50","2,207.50","2,207.50","","-0.27%"
"04/24/2023","2,213.50","2,213.50","2,213.50","2,213.50","","-0.72%"
"04/21/2023","2,229.50","2,229.50","2,229.50","2,229.50","","0.84%"
"04/20/2023","2,211.00","2,211.00","2,211.00","2,211.00","","-0.25%"
"04/19/2023","2,216.50","2,216.50","2,216.50","2,216.50","","-0.43%"
"04/18/2023","2,226.00","2,226.00","2,226.00","2,226.00","","0.98%"
"04/17/2023","2,204.50","2,204.50","2,204.50","2,204.50","","0.11%"
"04/13/2023","2,202.00","2,202.00","2,202.00","2,202.00","","2.25%"
"04/12/2023","2,153.50","2,153.50","2,153.50","2,153.50","","-0.46%"
"04/11/2023","2,163.50","2,163.50","2,163.50","2,163.50","","-1.32%"
"04/10/2023","2,192.50","2,192.50","2,192.50","2,192.50","","0.83%"
"04/06/2023","2,174.50","2,174.50","2,174.50","2,174.50","","0.69%"
"04/05/2023","2,159.50","2,159.50","2,159.50","2,159.50","","2.64%"
"04/03/2023","2,104.00","2,104.00","2,104.00","2,104.00","","-3.99%"
"03/31/2023","2,191.50","2,191.50","2,191.50","2,191.50","","-3.99%"
"03/29/2023","2,282.50","2,282.50","2,282.50","2,282.50","","-0.70%"
"03/28/2023","2,298.50","2,298.50","2,298.50","2,298.50","","-1.01%"
"03/27/2023","2,322.00","2,322.00","2,322.00","2,322.00","","-0.21%"
"03/24/2023","2,327.00","2,327.00","2,327.00","2,327.00","","-0.47%"
"03/23/2023","2,338.00","2,338.00","2,338.00","2,338.00","","0.54%"
"03/22/2023","2,325.50","2,325.50","2,325.50","2,325.50","","-0.06%"
"03/21/2023","2,327.00","2,327.00","2,327.00","2,327.00","","0.13%"
"03/20/2023","2,324.00","2,324.00","2,324.00","2,324.00","","-0.34%"
"03/17/2023","2,332.00","2,332.00","2,332.00","2,332.00","","0.69%"
"03/16/2023","2,316.00","2,316.00","2,316.00","2,316.00","","-1.84%"
"03/15/2023","2,359.50","2,359.50","2,359.50","2,359.50","","-0.38%"
"03/14/2023","2,368.50","2,368.50","2,368.50","2,368.50","","1.78%"
"03/13/2023","2,327.00","2,327.00","2,327.00","2,327.00","","-3.98%"
"03/10/2023","2,423.50","2,423.50","2,423.50","2,423.50","","4.51%"
"03/09/2023","2,319.00","2,319.00","2,319.00","2,319.00","","-0.02%"
"03/08/2023","2,319.50","2,319.50","2,319.50","2,319.50","","-2.15%"
"03/06/2023","2,370.50","2,370.50","2,370.50","2,370.50","","-0.06%"
"03/03/2023","2,372.00","2,372.00","2,372.00","2,372.00","","1.07%"
"03/02/2023","2,347.00","2,347.00","2,347.00","2,347.00","","4.33%"
"03/01/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/28/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/27/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/24/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/23/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/22/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/21/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/20/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/17/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/16/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/15/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/14/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/13/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/10/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/09/2023","2,249.50","2,249.50","2,249.50","2,249.50","","0.00%"
"02/08/2023","2,249.50","2,249.50","2,249.50","2,249.50","","4.00%"
"02/07/2023","2,163.00","2,163.00","2,163.00","2,163.00","","3.99%"
"02/06/2023","2,080.00","2,080.00","2,080.00","2,080.00","","4.00%"
"02/03/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"02/02/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"02/01/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"01/31/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"01/30/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"01/27/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"01/25/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"01/24/2023","2,000.00","2,000.00","2,000.00","2,000.00","","0.00%"
"01/23/2023","2,000.00","2,000.00","2,000.00","2,000.00","","-32.15%"
"01/20/2023","2,947.50","2,947.50","2,947.50","2,947.50","","0.31%"
"01/19/2023","2,938.50","2,938.50","2,938.50","2,938.50","","-0.86%"
"01/18/2023","2,964.00","2,964.00","2,964.00","2,964.00","","0.12%"
"01/17/2023","2,960.50","2,960.50","2,960.50","2,960.50","","-0.40%"
"01/16/2023","2,972.50","2,972.50","2,972.50","2,972.50","","2.36%"
"01/13/2023","2,904.00","2,904.00","2,904.00","2,904.00","","-0.68%"
"01/12/2023","2,924.00","2,924.00","2,924.00","2,924.00","","-1.10%"
"01/11/2023","2,956.50","2,956.50","2,956.50","2,956.50","","-0.97%"
"01/10/2023","2,985.50","2,985.50","2,985.50","2,985.50","","-0.83%"
"01/09/2023","3,010.50","3,010.50","3,010.50","3,010.50","","0.25%"
"01/06/2023","3,003.00","3,003.00","3,003.00","3,003.00","","-0.81%"
"01/05/2023","3,027.50","3,027.50","3,027.50","3,027.50","","0.15%"
"01/04/2023","3,023.00","3,023.00","3,023.00","3,023.00","","0.43%"
"01/03/2023","3,010.00","3,010.00","3,010.00","3,010.00","","-1.15%"
"01/02/2023","3,045.00","3,045.00","3,045.00","3,045.00","","0.33%"
"12/30/2022","3,035.00","3,035.00","3,035.00","3,035.00","","-0.39%"
"12/29/2022","3,047.00","3,047.00","3,047.00","3,047.00","","-0.02%"
"12/28/2022","3,047.50","3,047.50","3,047.50","3,047.50","","-0.55%"
"12/27/2022","3,064.50","3,064.50","3,064.50","3,064.50","","-0.39%"
"12/26/2022","3,076.50","3,076.50","3,076.50","3,076.50","","1.60%"
"12/23/2022","3,028.00","3,028.00","3,028.00","3,028.00","","-2.05%"
"12/22/2022","3,091.50","3,091.50","3,091.50","3,091.50","","-0.82%"
"12/21/2022","3,117.00","3,117.00","3,117.00","3,117.00","","-1.44%"
"12/20/2022","3,162.50","3,162.50","3,162.50","3,162.50","","1.35%"
"12/19/2022","3,120.50","3,120.50","3,120.50","3,120.50","","0.58%"
"12/16/2022","3,102.50","3,102.50","3,102.50","3,102.50","","-0.82%"
"12/15/2022","3,128.00","3,128.00","3,128.00","3,128.00","","-0.81%"
"12/14/2022","3,153.50","3,153.50","3,153.50","3,153.50","","-0.93%"
"12/13/2022","3,183.00","3,183.00","3,183.00","3,183.00","","-0.61%"
"12/12/2022","3,202.50","3,202.50","3,202.50","3,202.50","","0.28%"
"12/09/2022","3,193.50","3,193.50","3,193.50","3,193.50","","0.39%"
"12/08/2022","3,181.00","3,181.00","3,181.00","3,181.00","","-1.01%"
"12/07/2022","3,213.50","3,213.50","3,213.50","3,213.50","","-0.45%"
"12/06/2022","3,228.00","3,228.00","3,228.00","3,228.00","","-0.22%"
"12/05/2022","3,235.00","3,235.00","3,235.00","3,235.00","","0.14%"
"12/02/2022","3,230.50","3,230.50","3,230.50","3,230.50","","-0.02%"
"12/01/2022","3,231.00","3,231.00","3,231.00","3,231.00","","-0.02%"
"11/30/2022","3,231.50","3,231.50","3,231.50","3,231.50","","-0.02%"
"11/29/2022","3,232.00","3,232.00","3,232.00","3,232.00","","0.20%"
"11/28/2022","3,225.50","3,225.50","3,225.50","3,225.50","","-0.45%"
"11/25/2022","3,240.00","3,240.00","3,240.00","3,240.00","","0.39%"
"11/24/2022","3,227.50","3,227.50","3,227.50","3,227.50","","0.37%"
"11/23/2022","3,215.50","3,215.50","3,215.50","3,215.50","","-0.08%"
"11/22/2022","3,218.00","3,218.00","3,218.00","3,218.00","","-0.25%"
"11/21/2022","3,226.00","3,226.00","3,226.00","3,226.00","","1.83%"
"11/18/2022","3,168.00","3,168.00","3,168.00","3,168.00","","-0.69%"
"11/17/2022","3,190.00","3,190.00","3,190.00","3,190.00","","-0.03%"
"11/16/2022","3,191.00","3,191.00","3,191.00","3,191.00","","-0.62%"
"11/15/2022","3,211.00","3,211.00","3,211.00","3,211.00","","0.56%"
"11/14/2022","3,193.00","3,193.00","3,193.00","3,193.00","","0.31%"
"11/11/2022","3,183.00","3,183.00","3,183.00","3,183.00","","0.58%"
"11/10/2022","3,164.50","3,164.50","3,164.50","3,164.50","","-0.95%"
"11/09/2022","3,195.00","3,195.00","3,195.00","3,195.00","","0.88%"
"11/07/2022","3,167.00","3,167.00","3,167.00","3,167.00","","-0.46%"
"11/04/2022","3,181.50","3,181.50","3,181.50","3,181.50","","-0.20%"
"11/03/2022","3,188.00","3,188.00","3,188.00","3,188.00","","1.16%"
"11/02/2022","3,151.50","3,151.50","3,151.50","3,151.50","","-0.60%"
"11/01/2022","3,170.50","3,170.50","3,170.50","3,170.50","","1.04%"
"10/31/2022","3,138.00","3,138.00","3,138.00","3,138.00","","-0.71%"
"10/28/2022","3,160.50","3,160.50","3,160.50","3,160.50","","0.96%"
"10/27/2022","3,130.50","3,130.50","3,130.50","3,130.50","","-0.03%"
"10/25/2022","3,131.50","3,131.50","3,131.50","3,131.50","","-0.02%"
"10/24/2022","3,132.00","3,132.00","3,132.00","3,132.00","","-0.05%"
"10/21/2022","3,133.50","3,133.50","3,133.50","3,133.50","","1.23%"
"10/20/2022","3,095.50","3,095.50","3,095.50","3,095.50","","-0.06%"
"10/19/2022","3,097.50","3,097.50","3,097.50","3,097.50","","-0.59%"
"10/18/2022","3,116.00","3,116.00","3,116.00","3,116.00","","0.91%"
"10/17/2022","3,088.00","3,088.00","3,088.00","3,088.00","","1.15%"
"10/14/2022","3,053.00","3,053.00","3,053.00","3,053.00","","-0.44%"
"10/13/2022","3,066.50","3,066.50","3,066.50","3,066.50","","-0.60%"
"10/12/2022","3,085.00","3,085.00","3,085.00","3,085.00","","0.98%"
"10/11/2022","3,055.00","3,055.00","3,055.00","3,055.00","","0.02%"
"10/10/2022","3,054.50","3,054.50","3,054.50","3,054.50","","0.44%"
"10/07/2022","3,041.00","3,041.00","3,041.00","3,041.00","","-0.93%"
"10/06/2022","3,069.50","3,069.50","3,069.50","3,069.50","","0.34%"
"10/04/2022","3,059.00","3,059.00","3,059.00","3,059.00","","-0.37%"
"10/03/2022","3,070.50","3,070.50","3,070.50","3,070.50","","2.40%"
"09/30/2022","2,998.50","2,998.50","2,998.50","2,998.50","","-0.74%"
"09/29/2022","3,021.00","3,021.00","3,021.00","3,021.00","","-0.28%"
"09/28/2022","3,029.50","3,029.50","3,029.50","3,029.50","","0.68%"
"09/27/2022","3,009.00","3,009.00","3,009.00","3,009.00","","0.08%"
"09/26/2022","3,006.50","3,006.50","3,006.50","3,006.50","","0.45%"
"09/23/2022","2,993.00","2,993.00","2,993.00","2,993.00","","-0.70%"
"09/22/2022","3,014.00","3,014.00","3,014.00","3,014.00","","0.05%"
"09/21/2022","3,012.50","3,012.50","3,012.50","3,012.50","","0.32%"
"09/20/2022","3,003.00","3,003.00","3,003.00","3,003.00","","0.38%"
"09/19/2022","2,991.50","2,991.50","2,991.50","2,991.50","","-0.61%"
"09/16/2022","3,010.00","3,010.00","3,010.00","3,010.00","","-0.23%"
"09/15/2022","3,017.00","3,017.00","3,017.00","3,017.00","","-0.02%"
"09/14/2022","3,017.50","3,017.50","3,017.50","3,017.50","","0.27%"
"09/13/2022","3,009.50","3,009.50","3,009.50","3,009.50","","-0.51%"
"09/12/2022","3,025.00","3,025.00","3,025.00","3,025.00","","0.65%"
"09/09/2022","3,005.50","3,005.50","3,005.50","3,005.50","","-1.43%"
"09/07/2022","3,049.00","3,049.00","3,049.00","3,049.00","","-0.47%"
"09/06/2022","3,063.50","3,063.50","3,063.50","3,063.50","","0.34%"
"09/05/2022","3,053.00","3,053.00","3,053.00","3,053.00","","1.48%"
"09/02/2022","3,008.50","3,008.50","3,008.50","3,008.50","","-0.92%"
"09/01/2022","3,036.50","3,036.50","3,036.50","3,036.50","","-0.10%"
"08/30/2022","3,039.50","3,039.50","3,039.50","3,039.50","","-0.05%"
"08/29/2022","3,041.00","3,041.00","3,041.00","3,041.00","","-0.23%"
"08/26/2022","3,048.00","3,048.00","3,048.00","3,048.00","","0.00%"
"08/25/2022","3,048.00","3,048.00","3,048.00","3,048.00","","-0.39%"
"08/24/2022","3,060.00","3,060.00","3,060.00","3,060.00","","-0.26%"
"08/23/2022","3,068.00","3,068.00","3,068.00","3,068.00","","1.81%"
"08/22/2022","3,013.50","3,013.50","3,013.50","3,013.50","","-1.20%"
"08/19/2022","3,050.00","0.00","0.00","0.00","","1.65%"
"08/18/2022","3,000.50","3,000.50","3,000.50","3,000.50","","-1.66%"
"08/17/2022","3,051.00","3,051.00","3,051.00","3,051.00","","-1.63%"
"08/16/2022","3,101.50","3,101.50","3,101.50","3,101.50","","-0.06%"
"08/12/2022","3,103.50","3,103.50","3,103.50","3,103.50","","0.16%"
"08/11/2022","3,098.50","3,098.50","3,098.50","3,098.50","","-0.02%"
"08/10/2022","3,099.00","3,099.00","3,099.00","3,099.00","","-0.23%"
"08/08/2022","3,106.00","3,106.00","3,106.00","3,106.00","","-0.16%"
"08/05/2022","3,111.00","3,111.00","3,111.00","3,111.00","","0.08%"
"08/04/2022","3,108.50","3,108.50","3,108.50","3,108.50","","-0.16%"
