"date","close","open","high","low","vol.","change %"
"04/28/2023","1,903.00","1,903.00","1,903.00","1,903.00","","1.01%"
"04/27/2023","1,884.00","1,834.00","1,934.00","1,834.00","0.02K","-1.31%"
"04/26/2023","1,909.00","1,909.00","1,909.00","1,909.00","","0.00%"
"04/25/2023","1,909.00","1,909.00","1,909.00","1,909.00","","-0.05%"
"04/24/2023","1,910.00","1,910.00","1,910.00","1,910.00","","-1.09%"
"04/21/2023","1,931.00","1,931.00","1,931.00","1,931.00","","0.31%"
"04/20/2023","1,925.00","1,925.00","1,925.00","1,925.00","","-1.03%"
"04/19/2023","1,945.00","1,945.00","1,945.00","1,945.00","","-0.31%"
"04/18/2023","1,951.00","1,951.00","1,951.00","1,951.00","","0.62%"
"04/17/2023","1,939.00","1,939.00","1,939.00","1,939.00","","-2.71%"
"04/13/2023","1,993.00","1,993.00","1,993.00","1,993.00","","-1.14%"
"04/12/2023","2,016.00","2,016.00","2,016.00","2,016.00","","-4.64%"
"04/11/2023","2,114.00","2,114.00","2,114.00","2,114.00","","-4.04%"
"04/10/2023","2,203.00","2,203.00","2,203.00","2,203.00","","-4.01%"
"04/06/2023","2,295.00","2,295.00","2,295.00","2,295.00","","-0.52%"
"04/05/2023","2,307.00","2,307.00","2,307.00","2,307.00","","-5.02%"
"04/03/2023","2,429.00","2,429.00","2,429.00","2,429.00","","4.16%"
"03/31/2023","2,332.00","2,332.00","2,332.00","2,332.00","","6.00%"
"03/29/2023","2,200.00","2,200.00","2,200.00","2,200.00","","0.00%"
"03/28/2023","2,200.00","2,200.00","2,200.00","2,200.00","","0.55%"
"03/27/2023","2,188.00","2,188.00","2,188.00","2,188.00","","1.67%"
"03/24/2023","2,152.00","2,152.00","2,152.00","2,152.00","","1.99%"
"03/23/2023","2,110.00","2,110.00","2,110.00","2,110.00","","0.00%"
"03/22/2023","2,110.00","2,110.00","2,110.00","2,110.00","","-0.05%"
